연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
244,2020-04-29,시정현안 홍보 기자 간담회,"45,000",3,아리랑한정식,카드,
245,2020-05-01,전통시장 상권 활성화 방안 논의 간담,"90,000",4,경도,카드,
246,2020-05-01,시민대상 수상자 선정을 위한 업무협력 간담회,"119,000",7,오복미역상무점,카드,
247,2020-05-01,시의회 및 중앙교류 협의 간담,"495,000",17,대원한우명가,카드,
248,2020-05-04,제40주년 5.18 민주화운동 주요행사 홍보 간담회,"80,000",3,미작,카드,
249,2020-05-04,혁신도시TF 운영 협의 간담회,"40,000",2,다부,카드,
250,2020-05-06,혁신도시 협력 네트워크 강화 간담회,"119,000",11,옥과한우촌,카드,
251,2020-05-07,정정당당근무 캠페인 업무협의 간담,"228,000",13,어촌외1,카드,
252,2020-05-08,노조 단체교섭 요구사항 협의 간담,"173,900",9,빕스,카드,
253,2020-05-08,5.18 광장 주먹밥 브랜딩화 추진 방안 간담회,"120,000",4,완도전복일번지,카드,
254,2020-05-08,백운광장 주변 도시철도 2호선 공사에 따른 시민 교통 불편 초소화 방안 간담회,"181,500",7,본가초밥,카드,
255,2020-05-08,지방행정공제회 관계관 업무협조 간담회,"261,000",9,우래정,카드,
256,2020-05-11,시정현안 홍보 기자 간담,"106,000",4,대원한우명가,카드,
257,2020-05-11,5.18 민주의 종 타종식 업무협력 간담회,"90,000",5,남해쭈꾸미마을,카드,
258,2020-05-12,광주시민권리장전 제정을 위한 업무협력 간담회,"102,000",6,미진,카드,
259,2020-05-12,코로나19 검체채취 업무 관련 간담,"82,000",6,카페꽃피움,카드,
260,2020-05-12,2회추경 예결위 대비 업무협의 간담회,"116,000",8,청기와,카드,
